movie_id,title,release_year,duration,genre,rating,popularity_score,budget,revenue
1,Movie_1,2018,111,Mystery,3.1,44.4,175213924,425375723
2,Movie_2,2004,102,Thriller,4.0,62.3,24412013,87625065
3,Movie_3,1997,123,Romance,4.0,100.0,34496010,112461785
4,Movie_4,2010,102,Mystery,4.0,10.8,8752366,27877589
5,Movie_5,2008,127,Drama,4.5,26.5,10920035,34736079
6,Movie_6,2012,104,Romance,2.7,10.7,46073785,174250840
7,Movie_7,2000,138,Documentary,3.2,98.5,49309441,176496518
8,Movie_8,2000,110,Horror,3.4,1.0,20897657,29391860
9,Movie_9,2013,157,Sci-Fi,1.2,7.3,23422496,33262979
10,Movie_10,2013,139,Fantasy,3.7,14.2,35284123,109158127
11,Movie_11,1992,125,Horror,3.5,73.8,140497842,225945736
12,Movie_12,2011,113,Comedy,2.6,49.5,8105752,11290379
13,Movie_13,1991,74,Thriller,4.2,24.6,40095430,135902099
14,Movie_14,2013,162,Action,4.1,8.6,2997381,6226382
15,Movie_15,2019,99,Crime,3.8,19.4,30656678,98714695
16,Movie_16,1991,122,Sci-Fi,2.1,68.0,25309503,78513350
17,Movie_17,2010,130,Documentary,2.7,24.1,8968236,22692268
18,Movie_18,2022,114,Documentary,3.7,31.1,8956066,30203393
19,Movie_19,2001,160,Romance,3.1,46.9,29900614,89893967
20,Movie_20,2011,83,Action,3.3,100.0,6767790,22804908
21,Movie_21,2014,172,War,2.6,14.4,17462158,19518172
22,Movie_22,2016,140,Drama,3.7,29.7,3694080,8647992
23,Movie_23,2017,112,Family,4.7,18.6,17640814,19696228
24,Movie_24,2005,112,Romance,3.8,31.4,38145495,82822616
25,Movie_25,2004,60,Crime,4.3,59.6,68103703,101651334
26,Movie_26,1992,94,Adventure,4.2,32.9,88717651,133927142
27,Movie_27,1996,109,Adventure,3.2,90.0,20612591,52522413
28,Movie_28,2010,125,Mystery,3.4,40.3,139677860,574234237
29,Movie_29,1998,157,Crime,4.7,24.4,13762963,39031631
30,Movie_30,2007,181,Drama,4.1,76.2,4200414,11597230
31,Movie_31,1993,128,Drama,4.3,28.2,129519802,139701321
32,Movie_32,2014,126,Sci-Fi,3.6,36.2,38805852,163392192
33,Movie_33,2003,105,Comedy,3.2,100.0,21645358,58667486
34,Movie_34,1998,68,Mystery,3.3,77.2,114193494,412406351
35,Movie_35,2015,101,Western,4.6,96.6,74748744,154282550
36,Movie_36,1991,113,Thriller,3.5,44.9,89321798,282560605
37,Movie_37,2009,149,Animation,4.5,21.4,17289820,18787343
38,Movie_38,2017,135,Fantasy,4.6,100.0,103369810,291754608
39,Movie_39,1996,126,Romance,4.2,14.0,52458614,169655170
40,Movie_40,1997,102,Thriller,4.1,100.0,66973564,279666199
41,Movie_41,2003,60,Thriller,4.9,100.0,18729012,84954703
42,Movie_42,2006,62,Drama,2.8,85.1,14052904,46650254
43,Movie_43,1993,70,Adventure,3.2,6.1,26227765,34483249
44,Movie_44,1991,111,Action,2.5,96.2,42808338,86497022
45,Movie_45,1995,149,Mystery,2.3,54.5,54828755,111888294
46,Movie_46,1993,149,Adventure,3.5,57.1,34454227,128071586
47,Movie_47,2018,143,Sci-Fi,3.7,77.2,60009702,149339046
48,Movie_48,2007,104,Romance,3.9,33.7,61606882,172121382
49,Movie_49,2015,154,Western,2.9,15.5,54841871,248368844
50,Movie_50,2023,92,Animation,3.2,42.8,14456720,34494688
51,Movie_51,1999,145,Crime,4.2,5.8,29559185,43906563
52,Movie_52,2003,69,Thriller,2.3,56.2,72567936,219846807
53,Movie_53,2020,84,War,3.5,33.0,109001316,174015489
54,Movie_54,2004,169,Animation,4.5,34.9,34774609,60290120
55,Movie_55,1997,113,Horror,3.3,10.3,216341857,536178157
56,Movie_56,2003,99,Fantasy,3.2,2.1,9601182,45366558
57,Movie_57,2012,153,Horror,4.5,47.2,12704570,27741590
58,Movie_58,2010,156,Comedy,2.4,53.8,30878920,96548612
59,Movie_59,2005,107,Drama,2.9,34.5,35539146,80688002
60,Movie_60,2007,128,Comedy,2.9,72.6,27623814,73654643
61,Movie_61,2013,124,Animation,4.1,41.5,28140781,109450467
62,Movie_62,2015,60,Horror,2.2,94.3,33398404,108537882
63,Movie_63,2014,78,Action,4.5,17.0,19295359,48943252
64,Movie_64,2018,148,Thriller,3.5,13.9,7017334,15717079
65,Movie_65,2004,95,Romance,4.3,15.1,156301921,629084592
66,Movie_66,1990,135,Fantasy,4.5,1.5,79234076,337456043
67,Movie_67,2014,127,Sci-Fi,2.9,100.0,84343798,218493513
68,Movie_68,1996,156,Mystery,3.5,100.0,22703277,76898613
69,Movie_69,1998,79,Action,3.3,84.8,25866025,93195124
70,Movie_70,2013,131,Mystery,3.4,26.6,137321307,244694432
71,Movie_71,1990,118,Sci-Fi,3.0,21.8,180435807,420621635
72,Movie_72,1997,96,Action,4.4,74.5,142903726,463484607
73,Movie_73,2013,96,War,3.4,35.7,51445009,143727350
74,Movie_74,2000,126,Action,3.2,100.0,13900842,26234775
75,Movie_75,2006,138,Thriller,4.4,16.4,46440102,88566688
76,Movie_76,1997,121,Crime,4.2,19.6,44468640,146836134
77,Movie_77,2022,122,Western,3.7,100.0,119426303,187626123
78,Movie_78,1994,105,Drama,3.2,100.0,18674243,39915024
79,Movie_79,2017,107,Drama,4.7,100.0,11199691,18767554
80,Movie_80,1996,96,Horror,2.7,25.9,15449167,46814086
81,Movie_81,1998,104,Western,4.4,90.9,13929182,51047621
82,Movie_82,1997,137,Action,4.0,16.7,52260839,26130419
83,Movie_83,2001,141,Documentary,2.5,14.7,83680954,121925603
84,Movie_84,2023,81,Fantasy,3.6,39.5,22952254,49353338
85,Movie_85,2022,93,Documentary,2.4,98.4,9704300,32925209
86,Movie_86,2012,98,War,3.2,5.1,21010535,22828752
87,Movie_87,2013,118,Comedy,3.7,41.7,39544436,128207169
88,Movie_88,2011,69,War,2.7,47.0,54604585,216690476
89,Movie_89,2016,93,Horror,1.6,43.4,39903019,103636203
90,Movie_90,1990,78,Fantasy,3.4,12.3,14834815,42997457
